img,x,y,brightness,alpha,surrounding_brightness
src/data/5.png,3,6,35,255,40
src/data/5.png,4,6,38,255,40
src/data/5.png,5,6,45,255,39
src/data/5.png,6,6,45,3,40
src/data/5.png,31,6,23,252,31
src/data/5.png,32,6,32,255,31
src/data/5.png,33,6,32,3,34
src/data/5.png,1,7,38,252,42
src/data/5.png,2,7,37,255,40
src/data/5.png,3,7,43,255,39
src/data/5.png,4,7,43,3,40
src/data/5.png,31,7,29,252,27
src/data/5.png,32,7,24,255,30
src/data/5.png,33,7,24,3,32
src/data/5.png,0,8,47,252,43
src/data/5.png,1,8,44,255,41
src/data/5.png,2,8,44,3,40
src/data/5.png,31,8,38,252,28
src/data/5.png,32,8,22,255,32
src/data/5.png,33,8,43,255,29
src/data/5.png,34,8,43,3,34
src/data/5.png,31,9,41,252,31
src/data/5.png,32,9,26,255,34
src/data/5.png,33,9,35,255,31
src/data/5.png,34,9,35,3,35
src/data/5.png,31,10,46,252,28
src/data/5.png,32,10,24,255,31
src/data/5.png,33,10,28,255,27
src/data/5.png,34,10,28,3,28
src/data/5.png,32,11,24,252,29
src/data/5.png,33,11,23,255,26
src/data/5.png,34,11,23,3,26
src/data/5.png,32,12,32,252,28
src/data/5.png,33,12,26,255,29
src/data/5.png,34,12,26,3,30
src/data/6.png,19,0,44,255,35
src/data/6.png,20,0,39,255,34
src/data/6.png,21,0,29,255,33
src/data/6.png,22,0,33,255,32
src/data/6.png,23,0,38,255,35
src/data/6.png,24,0,39,255,36
src/data/6.png,25,0,38,255,35
src/data/6.png,26,0,33,255,34
src/data/6.png,27,0,31,255,32
src/data/6.png,28,0,29,255,33
src/data/6.png,29,0,31,255,33
src/data/6.png,30,0,32,255,33
src/data/6.png,31,0,35,255,33
src/data/6.png,12,1,47,255,39
src/data/6.png,13,1,43,255,40
src/data/6.png,14,1,38,255,38
src/data/6.png,15,1,32,255,37
src/data/6.png,16,1,30,255,37
src/data/6.png,17,1,32,255,36
src/data/6.png,18,1,32,255,37
src/data/6.png,19,1,31,255,36
src/data/6.png,20,1,29,255,34
src/data/6.png,21,1,31,255,32
src/data/6.png,22,1,32,255,32
src/data/6.png,23,1,33,255,35
